race_id,year,round,event_name,circuit,race_date,driver_number,driver_abbreviation,team_name,total_laps,valid_laps,deleted_laps,invalid_laps,avg_lap_time,median_lap_time,best_lap_time,worst_lap_time,lap_time_range,pct_05_lap_time,pct_95_lap_time,lap_time_std,lap_time_cv,lap_time_iqr,seconds_off_best,lap_time_trend,tire_deg_per_lap,first_stint_avg,last_stint_avg,stint_delta,avg_sector1,avg_sector2,avg_sector3,best_sector1,best_sector2,best_sector3,avg_position,best_position,worst_position,position_changes,net_position_change,num_pit_stops,num_tire_stints,avg_stint_length,valid_lap_pct
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,10,#10,AlphaTauri,50,38,0,12,96.14634210526314,96.2185,93.468,103.106,9.637999999999991,93.6061,99.00115,1.985465964456975,0.020650457635541068,2.3592499999999887,2.678342105263141,-0.14694682131524126,-0.14694682131524126,97.77326666666666,95.08530434782608,-2.687962318840576,35.888729729729725,30.40726315789474,29.70486842105264,34.551,29.672,29.063,11.1,8.0,15.0,9,2.0,1,2,25.0,0.76
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,11,#11,Red Bull Racing,50,36,1,14,94.02125,93.757,92.042,98.591,6.548999999999992,92.08075,96.235,1.3988628111025443,0.014878155854155783,1.566749999999999,1.9792499999999933,-0.09630643500643518,-0.09630643500643518,95.0776,93.26671428571429,-1.8108857142857175,34.795542857142856,29.82252777777778,29.358555555555558,34.031,29.239,28.7,3.04,1.0,4.0,4,-3.0,1,2,25.0,0.72
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,14,#14,Alpine,36,30,0,6,96.05999999999997,96.152,93.831,101.458,7.626999999999995,94.06505,98.11405,1.5542837135056664,0.01618034263487057,1.747249999999994,2.228999999999971,-0.13642491657397057,-0.13642491657397057,97.01346666666667,95.10653333333333,-1.9069333333333418,35.76989655172414,30.404033333333327,29.74076666666667,34.906,29.803,28.99,7.228571428571429,6.0,8.0,3,0.0,1,2,18.0,0.8333333333333334
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,16,#16,Ferrari,50,36,1,14,93.89675,93.6695,92.17,97.088,4.917999999999992,92.4255,95.21975,1.1219385614704063,0.01194864104956142,1.852000000000018,1.7267499999999956,-0.09067194337194263,-0.09067194337194263,95.00386666666667,93.10595238095237,-1.8979142857142932,34.528428571428584,29.88222222222222,29.41563888888889,33.721,29.399,28.922,1.4,1.0,2.0,4,0.0,1,2,25.0,0.72
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,18,#18,Aston Martin,49,37,0,12,97.35224324324322,96.287,94.446,116.297,21.851,94.6408,102.2528,3.760380576228698,0.03862654265534543,2.4790000000000134,2.9062432432432246,-0.16531057373162567,-0.16531057373162567,98.68976923076924,96.62774999999999,-2.062019230769252,36.682833333333335,30.605,29.91951351351351,34.876,30.042,29.339,13.46938775510204,9.0,17.0,13,-1.0,1,2,24.5,0.7551020408163265
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,20,#20,Haas F1 Team,50,37,1,13,95.57981081081083,95.509,92.968,102.705,9.736999999999995,93.16199999999999,97.527,1.8509542259457805,0.01936553556911229,2.2809999999999917,2.611810810810823,-0.14895661450924416,-0.14895661450924416,96.11316666666667,93.294,-2.819166666666675,35.41686111111111,30.287081081081084,29.727594594594596,34.091,29.632,29.159,8.24,6.0,12.0,10,0.0,1,2,25.0,0.74
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,23,#23,Williams,48,35,2,13,97.4200857142857,96.424,94.368,115.413,21.045,94.4774,102.33709999999999,3.819646698871727,0.03920799977608327,2.724000000000018,3.0520857142857096,-0.20984705882352886,-0.20984705882352886,99.214,96.597875,-2.6161249999999967,36.69520588235294,30.630028571428575,29.91654285714286,34.89,29.882,29.118,15.191489361702128,11.0,18.0,11,3.0,1,2,24.0,0.7291666666666666
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,24,#24,Alfa Romeo,50,37,2,13,96.58529729729729,96.31,93.924,108.451,14.526999999999987,94.0486,100.27199999999996,3.0126089917108283,0.03119117584157531,2.5730000000000075,2.6612972972972813,-0.14480749170222718,-0.14480749170222718,97.78200000000001,95.34025,-2.441750000000013,36.16869444444445,30.412486486486486,29.775324324324327,34.823,29.8,29.205,14.48,11.0,18.0,12,7.0,2,3,16.666666666666668,0.74
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,27,#27,Aston Martin,50,37,0,13,96.65640540540541,96.594,93.996,105.803,11.807000000000002,94.176,98.6102,2.0347528441156273,0.021051401979840602,1.816999999999993,2.660405405405413,-0.15006377430061413,-0.15006377430061413,97.10945161290323,94.31566666666667,-2.7937849462365563,36.04855555555556,30.497351351351348,29.906945945945953,34.594,29.855,29.429,13.32,9.0,17.0,14,4.0,1,2,25.0,0.74
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,3,#3,McLaren,36,29,0,7,97.17513793103447,96.035,94.487,114.148,19.661,94.65119999999999,102.67479999999999,3.8506062762351174,0.03962542640246012,2.2409999999999997,2.6881379310344755,-0.23183743842364324,-0.23183743842364324,98.86625,96.53090476190475,-2.3353452380952433,36.529785714285715,30.52482758620689,29.917758620689657,34.747,30.072,29.318,13.166666666666666,11.0,18.0,8,-3.0,1,2,18.0,0.8055555555555556
