race_id,year,round,event_name,circuit,race_date,session_name,num_weather_samples,air_temp_avg,air_temp_min,air_temp_max,air_temp_std,air_temp_range,air_temp_trend,air_temp_start,air_temp_end,air_temp_delta,track_temp_avg,track_temp_min,track_temp_max,track_temp_std,track_temp_range,track_temp_trend,track_temp_delta,temp_diff_avg,temp_diff_max,humidity_avg,humidity_min,humidity_max,humidity_std,humidity_range,pressure_avg,pressure_min,pressure_max,pressure_range,any_rain,rain_pct,rain_samples,rain_started_early,rain_started_late,wind_speed_avg,wind_speed_max,wind_speed_std,wind_direction_dominant,wind_direction_std,is_wet_session,temp_category,weather_stability
2022_R01,2022,1,bahrain_grand_prix,Sakhir,2022-03-20 15:00:00,Race,163,23.617791411042944,22.3,25.7,1.0504508288712955,3.3999999999999986,-0.021500102526587475,24.929629629629623,22.616666666666667,-2.3129629629629562,28.61042944785276,26.3,32.3,1.8538453028849806,5.9999999999999964,-0.03834411247997951,-4.209259259259266,4.992638036809816,6.699999999999996,29.49079754601227,16.0,38.0,8.120518211706726,22.0,1010.3858895705521,1010.0,1010.7,0.7000000000000455,False,0.0,0,False,False,0.3049079754601227,0.8,0.17701352427288028,0,140.6959759409968,False,moderate,moderate
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,Race,152,25.42039473684211,25.3,25.6,0.08865351544033831,0.3000000000000007,0.000533936125861956,25.38,25.436,0.05600000000000094,28.40921052631579,27.2,29.8,0.7730009692306404,2.6000000000000014,-0.017180270504855964,-1.7539999999999978,2.988815789473685,4.5,59.66447368421053,56.0,65.0,2.492223877104047,9.0,1012.7776315789474,1012.0,1013.5,1.5,False,0.0,0,False,False,2.359210526315789,4.0,0.5927101592419312,333,98.0774796240755,False,warm,stable
2022_R03,2022,3,australian_grand_prix,Melbourne,2022-04-10 05:00:00,Race,156,26.69743589743589,25.8,27.4,0.4268336108464536,1.5999999999999979,0.008198068625436516,26.278846153846153,27.126923076923074,0.8480769230769205,37.40833333333334,31.9,41.2,2.3089994574758252,9.300000000000004,-0.042881730966793964,-4.065384615384623,10.710897435897435,15.400000000000002,43.65384615384615,40.0,48.0,2.121027888833836,8.0,1014.2461538461537,1013.9,1014.5,0.6000000000000227,False,0.0,0,False,False,1.8128205128205126,4.4,0.7017690042445912,311,78.79450585029323,False,warm,stable
2022_R04,2022,4,emilia_romagna_grand_prix,Imola,2022-04-24 13:00:00,Race,158,12.899367088607592,11.1,14.2,0.7873600844621276,3.0999999999999996,0.016374157804183064,11.940384615384618,13.615384615384617,1.674999999999999,17.41898734177215,15.6,19.1,0.9921444251460081,3.5000000000000018,-0.017252977444592647,-1.888461538461538,4.5196202531645575,7.4,83.17088607594937,75.0,92.0,4.909620139125381,17.0,1001.0386075949366,1000.7,1001.7,1.0,False,0.0,0,False,False,1.482278481012658,2.5,0.546035974100325,70,63.43505218221227,False,cold,moderate
2022_R05,2022,5,miami_grand_prix,Miami,2022-05-08 19:30:00,Race,162,30.617283950617285,29.4,32.3,0.9502258801038195,2.8999999999999986,-0.016408467302038925,31.67037037037037,29.67777777777778,-1.9925925925925903,42.81975308641975,36.2,48.3,2.7716138650461177,12.099999999999994,-0.023037960034492436,-2.896296296296292,12.202469135802467,16.699999999999996,58.858024691358025,47.0,67.0,6.940624208016313,20.0,1009.3049382716049,1008.7,1010.0,1.2999999999999545,True,5.555555555555555,9,True,False,2.2672839506172835,5.0,0.8355330984603812,128,87.94586491290823,True,warm,moderate
